dataset_key,city,original_column_name,inferred_dtype,non_null_ratio_est,sample_values,has_metadata_description,metadata_description,flag_ambiguous_or_abbrev,normalized_column_name,normalization_steps,normalized_is_empty,normalized_is_duplicate
sf,San Francisco,DELETE - 2017 Fix It Zones 2 2,float64,0.251305,3.0 | 21.0 | 13.0 | 17.0 | 24.0 | 16.0 | 10.0 | 11.0 | 7.0 | 14.0 | 22.0 | 12.0 | 6.0 | 20.0 | 2.0 | 8.0 | 18.0 | 1.0 | 19.0 | 9.0,False,,True,delete_2017_fix_it_zones_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Civic Center Harm Reduction Project Boundary 2 2,float64,0.146303,1.0,False,,True,civic_center_harm_reduction_project_boundary_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Fix It Zones as of 2017-11-06  2 2,float64,0.258351,3.0 | 23.0 | 15.0 | 18.0 | 6.0 | 12.0 | 13.0 | 19.0 | 25.0 | 8.0 | 16.0 | 24.0 | 14.0 | 7.0 | 22.0 | 2.0 | 9.0 | 20.0 | 1.0 | 21.0,False,,True,fix_it_zones_as_of_2017_11_06_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,DELETE - HSOC Zones 2 2,float64,0.216463,1.0 | 3.0 | 5.0 | 4.0 | 2.0,False,,True,delete_hsoc_zones_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Fix It Zones as of 2018-02-07 2 2,float64,0.261124,3.0 | 23.0 | 15.0 | 18.0 | 6.0 | 12.0 | 4.0 | 13.0 | 19.0 | 24.0 | 8.0 | 16.0 | 25.0 | 14.0 | 7.0 | 22.0 | 2.0 | 9.0 | 20.0 | 1.0,False,,True,fix_it_zones_as_of_2018_02_07_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,"CBD, BID and GBD Boundaries as of 2017 2 2",float64,0.259155,6.0 | 8.0 | 1.0 | 3.0 | 5.0 | 7.0 | 10.0 | 4.0 | 9.0 | 14.0 | 2.0 | 13.0 | 15.0 | 11.0 | 12.0,False,,True,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,"Areas of Vulnerability, 2016 2 2",float64,0.999495,1.0 | 2.0,False,,True,areas_of_vulnerability_2016_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Central Market/Tenderloin Boundary 2 2,float64,0.157428,1.0,False,,True,central_market_tenderloin_boundary_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Central Market/Tenderloin Boundary Polygon - Updated 2 2,float64,0.157425,1.0,False,,True,central_market_tenderloin_boundary_polygon_updated_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,HSOC Zones as of 2018-06-05 2 2,float64,0.229968,1.0 | 3.0 | 5.0 | 4.0 | 2.0,False,,True,hsoc_zones_as_of_2018_06_05_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,OWED Public Spaces 2 2,float64,0.054656,39.0 | 35.0 | 6.0 | 51.0 | 50.0 | 70.0 | 18.0 | 15.0 | 38.0 | 22.0 | 29.0 | 80.0 | 3.0 | 60.0 | 31.0 | 16.0 | 14.0 | 23.0 | 32.0 | 65.0,False,,True,owed_public_spaces_2_2,lowercase | replace_special_chars,False,False
sf,San Francisco,Neighborhoods 2,float64,0.997198,17.0 | 21.0 | 86.0 | 107.0 | 77.0 | 102.0 | 53.0 | 32.0 | 31.0 | 106.0 | 39.0 | 113.0 | 109.0 | 99.0 | 108.0 | 65.0 | 90.0 | 84.0 | 20.0 | 24.0,False,,True,neighborhoods_2,lowercase | replace_special_chars,False,False
